                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.837,                 2.7627,                 1.9913,                0.00863,                0.21164,                0.00635,                0.00203,                  2.446,                 30.549,                 3.0057,              0.0005535,              0.0005535,              0.0005535
                      2,                 2.0716,                  3.015,                 2.1832,                0.02315,                0.12772,                0.01216,                0.00386,                 2.5288,                 6.1994,                 2.9642,              0.0010872,              0.0010872,              0.0010872
                      3,                 1.9751,                 2.8822,                 2.1226,                0.18236,                0.21724,                0.12153,                0.04904,                 2.0433,                 3.2492,                 2.4423,              0.0015989,              0.0015989,              0.0015989
                      4,                  1.861,                 2.7278,                 2.0202,                 0.2211,                0.22596,                0.15076,                0.06132,                 2.1416,                 2.8123,                 2.4724,               0.001568,               0.001568,               0.001568
                      5,                 1.7563,                  2.553,                   1.93,                0.36284,                0.33418,                  0.251,                0.11078,                 1.8115,                 2.6833,                 2.2118,               0.001568,               0.001568,               0.001568
                      6,                 1.6917,                 2.4337,                 1.8793,                0.38435,                0.34697,                0.31315,                0.14929,                 1.8033,                 2.5894,                 2.1859,               0.001535,               0.001535,               0.001535
                      7,                 1.6308,                 2.3187,                 1.8155,                0.40736,                0.41535,                0.37317,                0.18182,                 1.6796,                 2.3609,                 2.0665,               0.001502,               0.001502,               0.001502
                      8,                 1.5849,                 2.2437,                 1.7874,                0.43315,                0.44686,                0.37903,                0.17397,                 1.7083,                 2.1348,                 2.0456,               0.001469,               0.001469,               0.001469
                      9,                 1.5575,                 2.1609,                 1.7493,                0.41345,                0.43966,                0.38941,                0.18175,                 1.6353,                 2.2739,                 1.9693,               0.001436,               0.001436,               0.001436
                     10,                 1.5441,                  2.124,                 1.7366,                0.53952,                0.40995,                 0.4186,                0.21557,                 1.5899,                   2.17,                 1.9796,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.5143,                 2.0446,                 1.7226,                  0.491,                0.49136,                0.44309,                 0.2172,                 1.6134,                 1.9382,                 1.9555,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.4687,                 1.9663,                 1.6765,                0.53549,                0.49267,                0.49121,                0.25588,                 1.5079,                 1.9336,                 1.8714,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4513,                 1.9211,                 1.6666,                0.60177,                0.54933,                0.56568,                0.30906,                 1.4303,                 1.8374,                 1.8047,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4139,                 1.8415,                 1.6388,                0.65691,                0.52793,                0.58347,                0.32569,                 1.4227,                 1.7513,                 1.8099,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4009,                 1.7925,                 1.6283,                0.63974,                0.53605,                0.57736,                0.32187,                 1.4246,                 1.8014,                 1.8063,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.3814,                 1.7334,                 1.6127,                0.62566,                 0.5629,                0.58377,                   0.34,                 1.3763,                 1.7085,                 1.7385,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3574,                 1.6928,                 1.5848,                0.64536,                0.58826,                 0.6218,                0.36085,                  1.356,                 1.6476,                 1.7374,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3579,                 1.6386,                 1.5841,                0.67083,                0.59422,                0.63707,                0.35744,                 1.4061,                 1.6107,                 1.7533,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3388,                 1.6416,                 1.5724,                0.63426,                0.60912,                0.64824,                0.38136,                 1.3506,                 1.5295,                  1.727,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.3347,                 1.5975,                 1.5656,                0.72454,                 0.6221,                0.70114,                0.40795,                 1.3369,                 1.4095,                 1.7131,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.3009,                 1.5448,                 1.5376,                0.76206,                0.59858,                0.70235,                0.41318,                 1.3618,                 1.4366,                 1.7366,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2899,                 1.5131,                 1.5292,                0.74009,                0.61636,                0.70676,                 0.4338,                 1.2812,                 1.3547,                 1.6402,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2694,                 1.4719,                 1.5074,                0.70915,                 0.6607,                0.71033,                0.43512,                 1.2601,                 1.3217,                 1.6302,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2662,                 1.4325,                  1.507,                0.75201,                 0.6742,                0.75459,                0.45954,                 1.2215,                 1.2816,                 1.6011,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2479,                 1.3958,                 1.4935,                0.77077,                0.64712,                0.73607,                0.43658,                 1.3068,                 1.2994,                 1.6627,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2286,                 1.3812,                 1.4816,                0.74957,                0.68504,                0.74272,                0.44775,                 1.2729,                 1.2962,                 1.6426,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2294,                 1.3395,                 1.4742,                0.76643,                0.69185,                0.74796,                0.48227,                 1.2394,                  1.224,                 1.6178,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.2056,                 1.2971,                 1.4587,                0.79149,                0.69916,                0.77323,                0.48395,                 1.2538,                 1.1839,                 1.5988,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1896,                  1.294,                 1.4523,                0.78302,                0.69472,                0.77164,                0.47527,                 1.2494,                 1.1939,                 1.5914,             0.00077582,             0.00077582,             0.00077582
                     30,                  1.179,                 1.2495,                  1.438,                0.78374,                0.70592,                0.78436,                0.49717,                 1.2598,                 1.1424,                 1.6098,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1681,                 1.2251,                  1.427,                0.81288,                0.71578,                0.78919,                0.51721,                 1.2142,                 1.1142,                 1.5706,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1522,                 1.1828,                 1.4173,                0.83064,                 0.7375,                0.81619,                0.53671,                 1.2215,                 1.0721,                 1.5711,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1403,                 1.1626,                 1.3958,                0.84073,                0.72869,                0.81456,                0.53491,                  1.205,                 1.0498,                 1.5543,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1343,                 1.1522,                 1.4078,                0.80592,                0.74955,                0.81401,                0.52885,                 1.2029,                 1.0228,                 1.5652,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1169,                  1.121,                  1.392,                0.83572,                0.75289,                0.82425,                0.52812,                 1.2094,                 1.0089,                 1.5571,             0.00057778,             0.00057778,             0.00057778
